line_idx,name,bus0,bus1,x,s_nom
0,0,NL0 0,NL0 15,4.257969811615361,2377.3436564367385
1,1,NL0 0,NL0 17,2.6724919349740266,2377.3436564367385
2,10,NL0 12,NL0 14,5.013215203212258,2377.3436564367385
3,11,NL0 12,NL0 2,4.471079764611169,2377.3436564367385
4,12,NL0 13,NL0 19,4.380562671938769,2377.3436564367385
5,13,NL0 13,NL0 8,4.578888430206018,2377.3436564367385
6,14,NL0 15,NL0 4,3.061642880322759,2377.3436564367385
7,15,NL0 16,NL0 7,9.197854095397249,688.1784268632663
8,16,NL0 17,NL0 19,2.574182188019138,2377.3436564367385
9,17,NL0 18,NL0 4,2.224973556907888,2377.3436564367385
10,18,NL0 2,NL0 6,6.703119744741761,2377.3436564367385
11,19,NL0 3,NL0 7,2.409671762635925,3065.522083300005
12,2,NL0 0,NL0 18,6.191831255969656,2377.3436564367385
13,20,NL0 4,NL0 7,6.734747393526716,2377.3436564367385
14,22,NL0 5,NL0 8,6.6646957117442645,2377.3436564367385
15,23,NL0 6,NL0 9,5.247236349394107,2377.3436564367385
16,24,NL0 8,NL0 9,5.0648768523641134,3566.015484655108
17,3,NL0 0,NL0 8,1.737123732007809,4754.687312873477
18,4,NL0 1,NL0 11,4.244733626623349,2377.3436564367385
19,5,NL0 1,NL0 3,12.01342367668398,2377.3436564367385
20,6,NL0 10,NL0 14,5.607794851521237,2377.3436564367385
21,7,NL0 10,NL0 3,6.119528472297128,2377.3436564367385
22,8,NL0 11,NL0 16,5.770999083746573,688.1784268632663
23,9,NL0 11,NL0 3,10.2182238020315,688.1784268632663
